"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,99";"2016-03-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,27";"2016-02-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,09";"2016-02-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,31";"2016-02-23 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,80";"2016-02-23 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,16";"2016-02-22 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,50";"2016-02-18 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,29";"2016-02-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,30";"2016-02-12 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,29";"2016-02-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,20";"2016-02-09 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,30";"2016-02-08 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,19";"2016-02-04 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,21";"2016-02-02 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,15";"2016-01-29 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,90";"2016-01-27 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"1,01";"2016-01-27 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,89";"2016-01-26 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,94";"2016-01-25 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,84";"2016-01-22 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,75";"2016-01-21 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,66";"2016-01-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,50";"2016-01-18 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,70";"2016-01-08 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,63";"2016-01-07 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,51";"2016-01-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,29";"2015-12-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,38";"2015-11-13 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,53";"2015-11-02 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,65";"2015-10-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,49";"2015-10-20 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,73";"2015-10-15 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,70";"2015-10-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,58";"2015-10-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,61";"2015-10-01 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,66";"2015-09-30 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,59";"2015-09-28 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,74";"2015-09-28 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,62";"2015-09-24 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,89";"2015-09-22 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,60";"2015-09-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,58";"2015-07-30 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,99";"2015-07-30 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,01";"2015-07-10 00:00:00"
