
Importing updates of last 60 months into SourceData : XLIS.db.
Checking updates from 20121118 and adding to XLIS.db...

('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.49, '20150820', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.53, '20150819', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.47, '20150814', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.5, '20150813', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.41, '20150811', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.32, '20150806', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.21, '20150803', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.11, '20150728', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.02, '20150724', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.92, '20150720', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.83, '20150715', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.72, '20150709', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.61, '20150706', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.5, '20150701', 'XLIS', '20171118_15h06')
('HENGISTBURY INVESTMENT PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.59, '20140724', 'XLIS', '20171118_15h06')
('HENGISTBURY INVESTMENT PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.68, '20140722', 'XLIS', '20171118_15h06')
('HENGISTBURY INVESTMENT PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.79, '20140718', 'XLIS', '20171118_15h06')
('HENGISTBURY INVESTMENT PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.84, '20140716', 'XLIS', '20171118_15h06')
('HENGISTBURY INVESTMENT PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.79, '20140714', 'XLIS', '20171118_15h06')
