
Importing updates of last 70 months into SourceData : XBRU.db.
Checking updates from 20120202 and adding to XBRU.db...

('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130110', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130111', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130112', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130113', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130114', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130115', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130116', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130117', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130118', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130119', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130120', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130121', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130122', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130123', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130124', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130125', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130126', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130127', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130128', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130129', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130130', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130131', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130201', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130202', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130203', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130204', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130205', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130206', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130207', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130208', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130209', 'XBRU', '20171202_19h20')
