Extracting raw source data: XBRU
Checking updates from 20120501 and adding to XBRU.db...

('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150913', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150914', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150915', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150916', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150917', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150918', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150919', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150920', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150921', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150922', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150923', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150924', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150925', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150926', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150927', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150928', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150929', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20150930', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151001', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151002', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151003', 'XBRU', '20170501_16h35')
('Oxford Asset Management', 'Fagron', 'BE0003874915', 0.63, '20151003', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151004', 'XBRU', '20170501_16h35')
('Oxford Asset Management', 'Fagron', 'BE0003874915', 0.63, '20151004', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151005', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151006', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151007', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151008', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151009', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151010', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151011', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151012', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151013', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151014', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151015', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151016', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151017', 'XBRU', '20170501_16h35')
