Extracting raw source data: XBRU
Checking updates from 20130424 and adding to XBRU.db...

('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150213', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150214', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150215', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150216', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150217', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150218', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150219', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150220', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150221', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150222', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150223', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150224', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150225', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150226', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150227', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150228', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150301', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150302', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150303', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150304', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150305', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150306', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150307', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150308', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150309', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150310', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150311', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150312', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150313', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150314', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150315', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150316', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150317', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150318', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150319', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150320', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150321', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150322', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150323', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150324', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150325', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150326', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150327', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150328', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150329', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150330', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150331', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150401', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150402', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150403', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150404', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150405', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150406', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150407', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150408', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150409', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150410', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150411', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150412', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150413', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150414', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150415', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150416', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150417', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150418', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150419', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150420', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150421', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150422', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150423', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150424', 'XBRU', '20170424_22h35')
('Oxford Asset Management', 'Fagron', 'BE0003874915', 0.63, '20151003', 'XBRU', '20170424_22h35')
('Oxford Asset Management', 'Fagron', 'BE0003874915', 0.63, '20151004', 'XBRU', '20170424_22h35')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 0.92, '20160109', 'XBRU', '20170424_22h35')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161101', 'XBRU', '20170424_22h36')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161102', 'XBRU', '20170424_22h36')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161103', 'XBRU', '20170424_22h36')
('Oddo Contrepartie', 'Econocom', 'BE0974266950', 1.45, '20170323', 'XBRU', '20170424_22h36')

Rows added: 200

Done.

Deduplicating SourceData from XBRU.db ...

Duplicates:
[('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131031'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131101'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131102'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131103'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131104'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131105'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131106'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131107'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131108'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131109'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131110'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131111'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131112'), ('Pictet Asset Management SA', 'EVS Broadcasting', 0.73, '20131113'), ('BNP Paribas SA', 'Econocom', 0.8, '20131107'), ('BNP Paribas SA', 'Econocom', 0.8, '20131108'), ('BNP Paribas SA', 'Econocom', 0.8, '20131109'), ('BNP Paribas SA', 'Econocom', 0.8, '20131110'), ('BNP Paribas SA', 'Econocom', 0.8, '20131111'), ('BNP Paribas SA', 'Econocom', 0.8, '20131112'), ('BNP Paribas SA', 'Econocom', 0.8, '20131113'), ('Oddo Contrepartie', 'Econocom', 1.45, '20170323'), ('Oxford Asset Management', 'Fagron', 0.63, '20151003'), ('Oxford Asset Management', 'Fagron', 0.63, '20151004'), ('GSA Capital Partners LLP', 'Nyrstar', 0.71, '20161101'), ('GSA Capital Partners LLP', 'Nyrstar', 0.71, '20161102'), ('GSA Capital Partners LLP', 'Nyrstar', 0.71, '20161103'), ('Marshall Wace LLP', 'Nyrstar', 0.92, '20160109')]

Rows before: 37001

holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131031
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131101
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131102
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131103
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131104
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131105
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131106
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
holder: Pictet Asset Management SA // issuer: EVS Broadcasting // date: 20131107
Short interest: 0.6 vs 0.73
Deleting SI: 0.73
